dateTime,value
1/1/2010 0:00, 
1/1/2010 3:00,92.5
1/1/2010 12:00,91.1
1/2/2010 3:00,77.7
1/2/2010 12:00,95.7
1/3/2010 3:00,94.8
1/3/2010 12:00,95.3
1/4/2010 3:00,89.6
1/4/2010 12:00,100
1/5/2010 3:00,97.2
1/5/2010 12:00,100
1/6/2010 3:00,65.5
1/6/2010 12:00,93.9
1/7/2010 3:00,66.3
1/7/2010 12:00,95.4
1/8/2010 3:00,75.7
1/8/2010 12:00,96.3
1/9/2010 3:00,78.6
1/9/2010 12:00,98.1
1/10/2010 3:00,76.8
1/10/2010 12:00,100
1/11/2010 3:00,97.3
1/11/2010 12:00,91.4
1/12/2010 3:00,97.2
1/12/2010 12:00,88.2
1/13/2010 3:00,87.8
1/13/2010 12:00,62.9
1/14/2010 3:00,74.5
1/14/2010 12:00,98
1/15/2010 3:00,94.8
1/15/2010 12:00,93.7
1/16/2010 3:00,97.4
1/16/2010 12:00,90.8
1/17/2010 3:00,97.4
1/17/2010 12:00,45.8
1/18/2010 3:00,97.3
1/18/2010 12:00,100
1/19/2010 3:00,86.9
1/19/2010 12:00,91.6
1/20/2010 3:00,87.4
1/20/2010 12:00,100
1/21/2010 3:00,86.7
1/21/2010 12:00,100
1/22/2010 3:00,86.4
1/22/2010 12:00,95.7
1/23/2010 3:00,81.9
1/23/2010 12:00,90.2
1/24/2010 3:00,63.3
1/24/2010 12:00,90.5
1/25/2010 3:00,80.8
1/25/2010 12:00,96.5
1/26/2010 3:00,73.2
1/26/2010 12:00,100
1/27/2010 3:00,73.5
1/27/2010 12:00,100
1/28/2010 3:00,76.4
1/28/2010 12:00,94.5
1/29/2010 3:00,81.9
1/29/2010 12:00,91
1/30/2010 3:00,74.3
1/30/2010 12:00,94.6
1/31/2010 3:00,83.9
1/31/2010 12:00,96.3
2/1/2010 3:00,78.2
2/1/2010 12:00,91
2/2/2010 3:00,79
2/2/2010 12:00,100
2/3/2010 3:00,70
2/3/2010 12:00,86.9
2/4/2010 3:00,79
2/4/2010 12:00,100
2/5/2010 3:00,75.3
2/5/2010 12:00,90.8
2/6/2010 3:00,74.3
2/6/2010 12:00,94.4
2/7/2010 3:00,71.7
2/7/2010 12:00,91
2/8/2010 3:00,81.3
2/8/2010 12:00,82.3
2/9/2010 3:00,72.5
2/9/2010 12:00,96.3
2/10/2010 3:00,84.1
2/10/2010 12:00,96.5
2/11/2010 3:00,77.4
2/11/2010 12:00,91
2/12/2010 3:00,73.2
2/12/2010 12:00,90
2/13/2010 3:00,79
2/13/2010 12:00,90.8
2/14/2010 3:00,95.2
2/14/2010 12:00,100
2/15/2010 3:00,79.5
2/15/2010 12:00,92.7
2/16/2010 3:00,77.4
2/16/2010 12:00,91
2/17/2010 3:00,81.3
2/17/2010 12:00,91.4
2/18/2010 3:00,65.5
2/18/2010 12:00,91.4
2/19/2010 3:00,70.8
2/19/2010 12:00,91
2/20/2010 3:00,80.8
2/20/2010 12:00,91
2/21/2010 3:00,81.3
2/21/2010 12:00,94.6
2/22/2010 3:00,81.3
2/22/2010 12:00,91
2/23/2010 3:00,76.4
2/23/2010 12:00,91.2
2/24/2010 3:00,81.3
2/24/2010 12:00,91.8
2/25/2010 3:00,78
2/25/2010 12:00,91.8
2/26/2010 3:00,78.6
2/26/2010 12:00,100
2/27/2010 3:00,82.3
2/27/2010 12:00,91.6
2/28/2010 3:00,90.8
2/28/2010 12:00,91.6
3/1/2010 3:00,75.2
3/1/2010 12:00,91.8
3/2/2010 3:00,84.3
3/2/2010 12:00,91.8
3/3/2010 3:00,81.8
3/3/2010 12:00,91.6
3/4/2010 3:00,79.1
3/4/2010 12:00,92
3/5/2010 3:00,82.3
3/5/2010 12:00,96.8
3/6/2010 3:00,82.6
3/6/2010 12:00,91.8
3/7/2010 3:00,80.3
3/7/2010 12:00,92.2
3/8/2010 3:00,77.9
3/8/2010 12:00,90.7
3/9/2010 3:00,87.7
3/9/2010 12:00,89
3/10/2010 3:00,79.1
3/10/2010 12:00,92
3/11/2010 3:00,77.2
3/11/2010 12:00,83.6
3/12/2010 3:00,79.8
3/12/2010 12:00,94.3
3/13/2010 3:00,78
3/13/2010 12:00,93.7
3/14/2010 3:00,80.1
3/14/2010 12:00,90.8
3/15/2010 3:00,84.9
3/15/2010 12:00,95.3
3/16/2010 3:00,80.6
3/16/2010 12:00,83.6
3/17/2010 3:00,78.2
3/17/2010 12:00,97
3/18/2010 3:00,77.4
3/18/2010 12:00,89.9
3/19/2010 3:00,76.2
3/19/2010 12:00,89.9
3/20/2010 3:00,81.6
3/20/2010 12:00,92.8
3/21/2010 3:00,84.6
3/21/2010 12:00,94.1
3/22/2010 3:00,87.5
3/22/2010 12:00,91.2
3/23/2010 3:00,91.9
3/23/2010 12:00,95.5
3/24/2010 3:00,87.1
3/24/2010 12:00,94.3
3/25/2010 3:00,92.2
3/25/2010 12:00,95.5
3/26/2010 3:00,83.1
3/26/2010 12:00,94.2
3/27/2010 3:00,90.4
3/27/2010 12:00,94.1
3/28/2010 3:00,87.2
3/28/2010 12:00,97
3/29/2010 3:00,86.9
3/29/2010 12:00,93.3
3/30/2010 3:00,81.6
3/30/2010 12:00,95.2
3/31/2010 3:00,84.7
3/31/2010 12:00,89.9
4/1/2010 3:00,76.8
4/1/2010 12:00,82.3
4/2/2010 3:00,82.2
4/2/2010 12:00,83.8
4/3/2010 3:00,83.2
4/3/2010 12:00,94.3
4/4/2010 3:00,82.6
4/4/2010 12:00,94.4
4/5/2010 3:00,92
4/5/2010 12:00,90.4
4/6/2010 3:00,83.5
4/6/2010 12:00,84.1
4/7/2010 3:00,83.8
4/7/2010 12:00,90.2
4/8/2010 3:00,85.3
4/8/2010 12:00,83.4
4/9/2010 3:00,84
4/9/2010 12:00,93
4/10/2010 3:00,86.4
4/10/2010 12:00,95.6
4/11/2010 3:00,82.7
4/11/2010 12:00,95.7
4/12/2010 3:00,86.6
4/12/2010 12:00,92.7
4/13/2010 3:00,86.4
4/13/2010 12:00,92.7
4/14/2010 3:00,85
4/14/2010 12:00,78
4/15/2010 3:00,85.3
4/15/2010 12:00,88.5
4/16/2010 3:00,86.2
4/16/2010 12:00,85
4/17/2010 3:00,83.5
4/17/2010 12:00,81.9
4/18/2010 3:00,91.6
4/18/2010 12:00,90
4/19/2010 3:00,88.9
4/19/2010 12:00,95.4
4/20/2010 3:00,84.6
4/20/2010 12:00,92.6
4/21/2010 3:00,86.1
4/21/2010 12:00,92.5
4/22/2010 3:00,81.3
4/22/2010 12:00,92.8
4/23/2010 3:00,85.3
4/23/2010 12:00,86.2
4/24/2010 3:00,80
4/24/2010 12:00,93
4/25/2010 3:00,81.4
4/25/2010 12:00,90
4/26/2010 3:00,87.9
4/26/2010 12:00,100
4/27/2010 3:00,85.4
4/27/2010 12:00,84.6
4/28/2010 3:00,89
4/28/2010 12:00,89.9
4/29/2010 3:00,91.6
4/29/2010 12:00,85.2
4/30/2010 3:00,96.5
4/30/2010 12:00,100
5/1/2010 3:00,91.6
5/1/2010 12:00,92.5
5/2/2010 3:00,90.6
5/2/2010 12:00,92.3
5/3/2010 3:00,87.7
5/3/2010 12:00,90
5/4/2010 3:00,92.5
5/4/2010 12:00,87.3
5/5/2010 3:00,86.4
5/5/2010 12:00,85.6
5/6/2010 3:00,87.9
5/6/2010 12:00,89.4
5/7/2010 3:00,90.2
5/7/2010 12:00,94
5/8/2010 3:00,92
5/8/2010 12:00,94.9
5/9/2010 3:00,90.4
5/9/2010 12:00,85.7
5/10/2010 3:00,98.3
5/10/2010 12:00,88.4
5/11/2010 3:00,90.7
5/11/2010 12:00,91.4
5/12/2010 3:00,88.7
5/12/2010 12:00,85.3
5/13/2010 3:00,85.8
5/13/2010 12:00,93.2
